acc,cylinders,displacement,hp,weight,output
11.0,8,455.0,225.0,4951.0,1
11.0,8,360.0,175.0,3821.0,1
16.5,6,225.0,105.0,3121.0,2
18.0,6,250.0,100.0,3278.0,2
16.0,6,232.0,100.0,2945.0,2
16.5,6,250.0,88.0,3021.0,2
16.0,6,198.0,95.0,2904.0,2
21.0,4,97.0,46.0,1950.0,2
14.0,8,400.0,150.0,4997.0,1
12.5,8,400.0,167.0,4906.0,1
13.0,8,360.0,170.0,4654.0,1
12.5,8,350.0,180.0,4499.0,1
15.0,6,232.0,100.0,2789.0,2
19.0,4,97.0,88.0,2279.0,2
19.5,4,140.0,72.0,2401.0,2
16.5,4,108.0,94.0,2379.0,2
13.5,3,70.0,90.0,2124.0,2
18.5,4,122.0,85.0,2310.0,2
14.0,6,155.0,107.0,2472.0,2
15.5,4,98.0,90.0,2265.0,2
13.0,8,350.0,145.0,4082.0,1
9.5,8,400.0,230.0,4278.0,2
19.5,4,68.0,49.0,1867.0,2
15.5,4,116.0,75.0,2158.0,2
14.0,4,114.0,91.0,2582.0,2
15.5,4,121.0,112.0,2868.0,2
11.0,8,318.0,150.0,3399.0,1
14.0,4,121.0,110.0,2660.0,2
13.5,6,156.0,122.0,2807.0,2
11.0,8,350.0,180.0,3664.0,1
16.5,6,198.0,95.0,3102.0,2
16.0,6,232.0,100.0,2901.0,2
17.0,6,250.0,100.0,3336.0,1
19.0,4,79.0,67.0,1950.0,2
16.5,4,122.0,80.0,2451.0,2
21.0,4,71.0,65.0,1836.0,2
17.0,4,140.0,75.0,2542.0,2
17.0,6,250.0,100.0,3781.0,2
18.0,6,258.0,110.0,3632.0,2
16.5,6,225.0,105.0,3613.0,2
14.0,8,302.0,140.0,4141.0,2
14.5,8,350.0,150.0,4699.0,1
13.5,8,318.0,150.0,4457.0,1
16.0,8,302.0,140.0,4638.0,1
15.5,8,304.0,150.0,4257.0,1
16.5,4,98.0,83.0,2219.0,2
15.5,4,79.0,67.0,1963.0,2
14.5,4,97.0,78.0,2300.0,2
16.5,4,76.0,52.0,1649.0,2
19.0,4,83.0,61.0,2003.0,2
14.5,4,90.0,75.0,2125.0,2
15.5,4,90.0,75.0,2108.0,2
14.0,4,116.0,75.0,2246.0,2
15.0,4,120.0,97.0,2489.0,2
15.5,4,108.0,93.0,2391.0,2
16.0,4,79.0,67.0,2000.0,2
16.0,6,225.0,95.0,3264.0,2
16.0,6,250.0,105.0,3459.0,2
21.0,6,250.0,72.0,3432.0,1
19.5,6,250.0,72.0,3158.0,1
11.5,8,400.0,170.0,4668.0,2
14.0,8,350.0,145.0,4440.0,1
14.5,8,318.0,150.0,4498.0,2
13.5,8,351.0,148.0,4657.0,1
21.0,6,231.0,110.0,3907.0,2
18.5,6,250.0,105.0,3897.0,2
19.0,6,258.0,110.0,3730.0,1
19.0,6,225.0,95.0,3785.0,2
15.0,6,231.0,110.0,3039.0,2
13.5,8,262.0,110.0,3221.0,2
12.0,8,302.0,129.0,3169.0,1
16.0,4,97.0,75.0,2171.0,2
17.0,4,140.0,83.0,2639.0,2
16.0,6,232.0,100.0,2914.0,2
18.5,4,140.0,78.0,2592.0,2
13.5,4,134.0,96.0,2702.0,2
16.5,4,90.0,71.0,2223.0,2
17.0,4,119.0,97.0,2545.0,2
14.5,6,171.0,97.0,2984.0,2
14.0,4,90.0,70.0,1937.0,2
17.0,6,232.0,90.0,3211.0,2
15.0,4,115.0,95.0,2694.0,2
17.0,4,120.0,88.0,2957.0,2
14.5,4,121.0,98.0,2945.0,2
13.5,4,121.0,115.0,2671.0,2
17.5,4,91.0,53.0,1795.0,2
15.5,4,107.0,86.0,2464.0,2
16.9,4,116.0,81.0,2220.0,2
14.9,4,140.0,92.0,2572.0,2
17.7,4,98.0,79.0,2255.0,2
15.3,4,101.0,83.0,2202.0,2
13.0,8,305.0,140.0,4215.0,2
13.0,8,318.0,150.0,4190.0,2
13.9,8,304.0,120.0,3962.0,2
12.8,8,351.0,152.0,4215.0,1
15.4,6,225.0,100.0,3233.0,2
14.5,6,250.0,105.0,3353.0,2
17.6,6,200.0,81.0,3012.0,2
17.6,6,232.0,90.0,3085.0,2
22.2,4,85.0,52.0,2035.0,2
22.1,4,98.0,60.0,2164.0,2
14.2,4,90.0,70.0,1937.0,2
17.4,4,91.0,53.0,1795.0,2
17.7,6,225.0,100.0,3651.0,2
21.0,6,250.0,78.0,3574.0,2
16.2,6,250.0,110.0,3645.0,2
17.8,6,258.0,95.0,3193.0,2
12.2,4,97.0,71.0,1825.0,2
17.0,4,85.0,70.0,1990.0,2
16.4,4,97.0,75.0,2155.0,2
13.6,4,140.0,72.0,2565.0,2
15.7,4,130.0,102.0,3150.0,2
13.2,8,318.0,150.0,3940.0,1
21.9,4,120.0,88.0,3270.0,2
15.5,6,156.0,108.0,2930.0,2
16.7,6,168.0,120.0,3820.0,2
12.1,8,350.0,180.0,4380.0,2
12.0,8,350.0,145.0,4055.0,1
15.0,8,302.0,130.0,3870.0,1
14.0,8,318.0,150.0,3755.0,1
18.5,4,98.0,68.0,2045.0,2
14.8,4,111.0,80.0,2155.0,2
18.6,4,79.0,58.0,1825.0,2
15.5,4,122.0,96.0,2300.0,2
16.8,4,85.0,70.0,1945.0,2
12.5,8,305.0,145.0,3880.0,2
19.0,8,260.0,110.0,4060.0,2
13.7,8,318.0,145.0,4140.0,2
14.9,8,302.0,130.0,4295.0,1
16.4,6,250.0,110.0,3520.0,2
16.9,6,231.0,105.0,3425.0,2
17.7,6,225.0,100.0,3630.0,2
19.0,6,250.0,98.0,3525.0,2
11.1,8,400.0,180.0,4220.0,2
11.4,8,350.0,170.0,4165.0,2
12.2,8,400.0,190.0,4325.0,2
14.5,8,351.0,149.0,4335.0,2
14.5,4,97.0,78.0,1940.0,2
16.0,4,151.0,88.0,2740.0,2
18.2,4,97.0,75.0,2265.0,2
15.8,4,140.0,89.0,2755.0,2
17.0,4,98.0,63.0,2051.0,2
15.9,4,98.0,83.0,2075.0,2
16.4,4,97.0,67.0,1985.0,2
14.1,4,97.0,78.0,2190.0,2
14.5,6,146.0,97.0,2815.0,2
12.8,4,121.0,110.0,2600.0,2
13.5,3,80.0,110.0,2720.0,2
21.5,4,90.0,48.0,1985.0,2
14.4,4,98.0,66.0,1800.0,2
19.4,4,78.0,52.0,1985.0,2
18.6,4,85.0,70.0,2070.0,2
16.4,4,91.0,60.0,1800.0,2
15.5,8,260.0,110.0,3365.0,2
13.2,8,318.0,140.0,3735.0,2
12.8,8,302.0,139.0,3570.0,2
19.2,6,231.0,105.0,3535.0,2
18.2,6,200.0,95.0,3155.0,2
15.8,6,200.0,85.0,2965.0,2
15.4,4,140.0,88.0,2720.0,2
17.2,6,225.0,100.0,3430.0,2
17.2,6,232.0,90.0,3210.0,2
15.8,6,231.0,105.0,3380.0,2
16.7,6,200.0,85.0,3070.0,2
18.7,6,225.0,110.0,3620.0,2
15.1,6,258.0,120.0,3410.0,2
13.2,8,305.0,145.0,3425.0,2
13.4,6,231.0,165.0,3445.0,2
11.2,8,302.0,139.0,3205.0,2
13.7,8,318.0,140.0,4080.0,2
16.5,4,98.0,68.0,2155.0,2
14.2,4,134.0,95.0,2560.0,2
14.7,4,119.0,97.0,2300.0,2
14.5,4,105.0,75.0,2230.0,2
14.8,4,134.0,95.0,2515.0,2
16.7,4,156.0,105.0,2745.0,2
17.6,4,151.0,85.0,2855.0,2
14.9,4,119.0,97.0,2405.0,2
15.9,5,131.0,103.0,2830.0,2
13.6,6,163.0,125.0,3140.0,2
15.7,4,121.0,115.0,2795.0,2
15.8,6,163.0,133.0,3410.0,2
14.9,4,89.0,71.0,1990.0,2
16.6,4,98.0,68.0,2135.0,2
15.4,6,231.0,115.0,3245.0,2
18.2,6,200.0,85.0,2990.0,2
17.3,4,140.0,88.0,2890.0,2
18.2,6,232.0,90.0,3265.0,2
16.6,6,225.0,110.0,3360.0,2
15.4,8,305.0,130.0,3840.0,2
13.4,8,302.0,129.0,3725.0,2
13.2,8,351.0,138.0,3955.0,2
15.2,8,318.0,135.0,3830.0,2
14.9,8,350.0,155.0,4360.0,2
14.3,8,351.0,142.0,4054.0,2
15.0,8,267.0,125.0,3605.0,2
13.0,8,360.0,150.0,3940.0,2
14.0,4,89.0,71.0,1925.0,2
15.2,4,86.0,65.0,1975.0,2
14.4,4,98.0,80.0,1915.0,2
15.0,4,121.0,80.0,2670.0,2
20.1,5,183.0,77.0,3530.0,2
17.4,8,350.0,125.0,3900.0,2
24.8,4,141.0,71.0,3190.0,2
22.2,8,260.0,90.0,3420.0,2
13.2,4,105.0,70.0,2200.0,2
14.9,4,105.0,70.0,2150.0,2
19.2,4,85.0,65.0,2020.0,2
14.7,4,91.0,69.0,2130.0,2
16.0,4,151.0,90.0,2670.0,2
11.3,6,173.0,115.0,2595.0,2
12.9,6,173.0,115.0,2700.0,2
13.2,4,151.0,90.0,2556.0,2
14.7,4,98.0,76.0,2144.0,2
18.8,4,89.0,60.0,1968.0,2
15.5,4,98.0,70.0,2120.0,2
16.4,4,86.0,65.0,2019.0,2
16.5,4,151.0,90.0,2678.0,2
18.1,4,140.0,88.0,2870.0,2
20.1,4,151.0,90.0,3003.0,2
18.7,6,225.0,90.0,3381.0,2
15.8,4,97.0,78.0,2188.0,2
15.5,4,134.0,90.0,2711.0,2
17.5,4,120.0,75.0,2542.0,2
15.0,4,119.0,92.0,2434.0,2
15.2,4,108.0,75.0,2265.0,2
17.9,4,86.0,65.0,2110.0,2
14.4,4,156.0,105.0,2800.0,2
19.2,4,85.0,65.0,2110.0,2
21.7,4,90.0,48.0,2085.0,2
23.7,4,90.0,48.0,2335.0,2
19.9,5,121.0,67.0,2950.0,2
21.8,4,146.0,67.0,3250.0,2
13.8,4,91.0,67.0,1850.0,2
18.0,4,97.0,67.0,2145.0,2
15.3,4,89.0,62.0,1845.0,2
11.4,6,168.0,132.0,2910.0,2
12.5,3,70.0,100.0,2420.0,2
15.1,4,122.0,88.0,2500.0,2
17.0,4,107.0,72.0,2290.0,2
15.7,4,135.0,84.0,2490.0,2
16.4,4,151.0,84.0,2635.0,2
14.4,4,156.0,92.0,2620.0,2
12.6,6,173.0,110.0,2725.0,2
12.9,4,135.0,84.0,2385.0,2
16.9,4,79.0,58.0,1755.0,2
16.4,4,86.0,64.0,1875.0,2
16.1,4,81.0,60.0,1760.0,2
17.8,4,97.0,67.0,2065.0,2
19.4,4,85.0,65.0,1975.0,2
17.3,4,89.0,62.0,2050.0,2
16.0,4,91.0,68.0,1985.0,2
14.9,4,105.0,63.0,2215.0,2
16.2,4,98.0,65.0,2045.0,2
20.7,4,98.0,65.0,2380.0,2
14.2,4,105.0,74.0,2190.0,2
14.4,4,107.0,75.0,2210.0,2
16.8,4,108.0,75.0,2350.0,2
14.8,4,119.0,100.0,2615.0,2
18.3,4,120.0,74.0,2635.0,2
20.4,4,141.0,80.0,3230.0,2
19.6,6,145.0,76.0,3160.0,2
12.6,6,168.0,116.0,2900.0,2
13.8,6,146.0,120.0,2930.0,2
15.8,6,231.0,110.0,3415.0,2
19.0,8,350.0,105.0,3725.0,2
17.1,6,200.0,88.0,3060.0,2
16.6,6,225.0,85.0,3465.0,2
19.6,4,112.0,88.0,2605.0,2
18.6,4,112.0,88.0,2640.0,2
18.0,4,112.0,88.0,2395.0,2
16.2,4,112.0,85.0,2575.0,2
16.0,4,135.0,84.0,2525.0,2
18.0,4,151.0,90.0,2735.0,2
16.4,4,140.0,92.0,2865.0,2
15.3,4,105.0,74.0,1980.0,2
18.2,4,91.0,68.0,2025.0,2
17.6,4,91.0,68.0,1970.0,2
14.7,4,105.0,63.0,2125.0,2
17.3,4,98.0,70.0,2125.0,2
14.5,4,120.0,88.0,2160.0,2
14.5,4,107.0,75.0,2205.0,2
16.9,4,108.0,70.0,2245.0,2
15.0,4,91.0,67.0,1965.0,2
15.7,4,91.0,67.0,1965.0,2
16.2,4,91.0,67.0,1995.0,2
16.4,6,181.0,110.0,2945.0,2
17.0,6,262.0,85.0,3015.0,2
14.5,4,156.0,92.0,2585.0,2
14.7,6,232.0,112.0,2835.0,2
13.9,4,144.0,96.0,2665.0,2
13.0,4,135.0,84.0,2370.0,2
17.3,4,151.0,90.0,2950.0,2
15.6,4,140.0,86.0,2790.0,2
24.6,4,97.0,52.0,2130.0,2
11.6,4,135.0,84.0,2295.0,2
18.6,4,120.0,79.0,2625.0,2
19.4,4,119.0,82.0,2720.0,2
